Component;Sub component;Quantity;Manufacturer Part Number;Link
DIYFAN_V1_Electronic-Housing.stl;;1;;
DIYFAN_V1_Electronic-Housing-Cover.step;;1;;
PCBA: DIYFAN_V1;;1;;
;PCB (see gerber);1;;
;Isolated DC/DC Converters - Through Hole 5Vin 5Vout 0-400mA 2W SIP Unreg Iso ;1;SPUN02L-05 ;https://www.mouser.de/ProductDetail/MEAN-WELL/SPUN02L-05?qs=sGAEpiMZZMv0DJfhVcWlK0%252BNBIYn4O1XY9haSSYyi%252B%2Fs%252BI5AKEe8Jg%3D%3D
;Isolated DC/DC Converters - Through Hole 4.7-9Vin 12Vout 833mA DIP Iso Reg ;1;SKM10E-12 ;https://www.mouser.de/ProductDetail/MEAN-WELL/SKM10E-12?qs=sGAEpiMZZMv0DJfhVcWlK0%252BNBIYn4O1XRFMIDqGQauO3fHsp%252BZdfIQ%3D%3D
;Multi-Colour LEDs WL-SFTW SMT full-color TOP LED waterclear ;4;150141M173100 ;https://www.mouser.de/ProductDetail/Wurth-Elektronik/150141M173100?qs=2kOmHSv6VfT%2Fmnpysgc7Ng%3D%3D
;Short-stroke key 6x6 mm, height: 12.5 mm, 12 V, vert.;1;JTP-1130D;https://www.reichelt.com/de/en/shop/product/short-stroke_key_6x6_mm_height_12_5_mm_12_v_vert_-27894
;Arduino Nano;1;SKU A000005;https://store.arduino.cc/products/arduino-nano?srsltid=AfmBOoopQUXGwqDr3RtmGNBCi_BUmyVen_96Qsu5Q8tHKm3yHhX2SSll
;Aluminium Electrolytic Capacitors - Radial Leaded WCAP-ATG8 100uF 35V 20% Radial ;2;860010573007;https://www.mouser.de/ProductDetail/Wurth-Elektronik/860010573007?qs=sGAEpiMZZMsh%252B1woXyUXj4jKQI6sNRw6bECnZBmoGWo%3D
;Bipolar Transistors - BJT LO V NPN TRANSISTOR 40V 4.0A ;6;NSS40201LT1G;https://www.mouser.de/ProductDetail/onsemi/NSS40201LT1G?qs=JZRcihQa5buDxAwNVotiBw%3D%3D
;USB Connectors USB TYPE C ;1;10164359-00011LF ;https://www.mouser.de/ProductDetail/Amphenol-FCI/10164359-00011LF?qs=MyNHzdoqoQLpQ%2FmSqA1%252BtQ%3D%3D
;Modular Connectors / Ethernet Connectors WR-MJ_8P8C_THT_Vertical ;1;615008160321;https://www.mouser.de/ProductDetail/Wurth-Elektronik/615008160321?qs=OlC7AqGiEDmnhkTBXznxsQ%3D%3D
;female connector 2,54mm, 1x16, separable, gold plated;2;BL1.16 G;https://www.reichelt.com/de/en/shop/product/female_connector_2_54mm_1x16_separable_gold_plated-283786
;Resistor 3KOhm 1206;3;;
;Resistor 90Ohm 1206;8;;
;Resistor 150Ohm 1206;4;;
Ruthex M3 thread insert;;19;;https://www.ruthex.de/en/products/ruthex-gewindeeinsatz-m3-100-stuck-rx-m3x5-7-messing-gewindebuchsen?srsltid=AfmBOopR8BKug8ITQQtMF6fw8S3mQxS0U4x3am_fZL5zDbNjoHHJU5JS
Screw M3 x 6 mm;;Depends on ;;
Network Cable Network Cable (0.5?m as shown in the video build);;1;;https://www.amazon.de/gp/product/B08HDG8GV2/ref=ox_sc_act_title_1?th=1&language=en_GB
